NOMBRE_PROYECTO,ETAPA,FEC_OPCION,FECHA_DESISTIMIENTO,Entidad Financiera compra,MEDIO,VLR_VIVIENDA,PERIODO,PERIODO_AFILIADO,SEGMENTO_POBLACIONAL,CATEGORIA,RANGO_EDAD,NO_GRUPO_FAMILAR,NO_BENEFICIARIOS_CUOTA_MONETARIA,PIRAMIDE_NUEVA,EMPRESA_FOCO
VERDE ESPERANZA EL DORADO,ETAPA 1,9/28/2025,No,Colsubsidio,Valla ,"1,578,000,000,000",2025-9,2025-9,KAPPA,OMEGA,46 a 55 años,3,2,GAMMA,
Versalles,ETAPA 2,9/1/2025,No,Banco,Referido,"2,312,000,000,000",2025-9,2025-9,KAPPA,OMEGA,20 a 35 años,1,1,TAU,
Agrupación De Vivienda La Macarena,ETAPA 4,4/26/2026,No,Colsubsidio,Banderas y/o señalización,"1,575,815,000,000",2026-4,2026-4,KAPPA,OMEGA,Mayor de 55 años,,,ZETA,
Agrupación De Vivienda La Macarena,ETAPA 3,9/13/2025,No,Banco,Banderas y/o señalización,"1,561,331,000,000",2025-9,2025-9,KAPPA,OMEGA,20 a 35 años,3,3,ZETA,
AGRUPACIÓN DE VIVIENDA SAMÁN ,ETAPA 1,8/22/2025,No,Banco,Ferias empresariales,"2,550,000,000,000",2025-8,2025-8,SIGMA,ETA,20 a 35 años,2,2,NU,
Agrupación De Vivienda Monguí,ETAPA 3,4/28/2026,No,Banco,Banderas y/o señalización,"1,969,768,000,000",2026-4,2026-4,KAPPA,OMEGA,20 a 35 años,,,TAU,
Agrupación De Vivienda Monguí,ETAPA 3,4/26/2026,No,Banco,Activación,"1,961,014,000,000",2026-4,2026-4,KAPPA,OMEGA,36 a 45 años,4,4,TAU,
Agrupación De Vivienda Monguí,ETAPA 1,9/21/2025,No,Banco,Banderas y/o señalización,"1,644,142,500,000",2025-9,2025-9,NU,ETA,20 a 35 años,,,TAU,
VERDE ESPERANZA EL DORADO,ETAPA 1,9/18/2025,No,Colsubsidio,Banderas y/o señalización,"1,578,000,000,000",2025-9,2025-9,KAPPA,OMEGA,20 a 35 años,2,1,TAU,
INARI,ETAPA 1,8/23/2025,No,Colsubsidio,Activación,"2,506,000,000,000",2025-8,2025-8,NU,ETA,20 a 35 años,,,TAU,
Agrupación De Vivienda La Macarena,ETAPA 2,7/25/2024,No,Banco,Referido,"1,492,400,000,000",2024-7,2024-7,KAPPA,OMEGA,20 - 35 años,3,,TAU,
CONJUNTO RESIDENCIAL VIBO ONCE,ETAPA 1,4/25/2026,No,Banco,Banderas y/o señalización,"2,813,000,000,000",2026-4,2026-4,SIGMA,OMEGA,20 a 35 años,1,1,TAU,
VERDE ESPERANZA EL DORADO,ETAPA 1,1/6/2026,No,Colsubsidio,Banderas y/o señalización,"1,753,000,000,000",2026-1,2026-1,KAPPA,OMEGA,36 a 45 años,2,2,GAMMA,
VERDE ESPERANZA EL DORADO,ETAPA 1,10/16/2025,No,Colsubsidio,Banderas y/o señalización,"1,578,000,000,000",2025-10,2025-10,NU,OMEGA,20 a 35 años,,,GAMMA,
INARI,ETAPA 1,10/23/2025,No,Colsubsidio,Activación,"2,506,000,000,000",2025-10,2025-10,NU,OMEGA,20 a 35 años,,,TAU,
Agrupacion De Vivienda Reserva De Guayacan,ETAPA 1,10/13/2025,No,Banco,Ferias empresariales,"2,360,000,000,000",2025-10,2025-10,SIGMA,OMEGA,Mayor de 55 años,1,,GAMMA,
La Arboleda,ETAPA 3,7/20/2025,No,Colsubsidio,Ferias empresariales,"2,233,450,000,000",2025-7,2025-7,SIGMA,OMEGA,36 a 45 años,1,,NU,
AGRUPACIÓN DE VIVIENDA BOSQUE DE TURPIAL,ETAPA 1,11/19/2025,No,Colsubsidio,Activación,"2,101,090,000,000",2025-11,2025-11,KAPPA,OMEGA,46 a 55 años,,,TAU,
Agrupación De Vivienda Monguí,ETAPA 2,10/12/2025,No,Banco,Banderas y/o señalización,"1,793,610,000,000",2025-10,2025-10,KAPPA,OMEGA,20 a 35 años,2,1,TAU,
INARI,ETAPA 1,7/4/2025,No,Colsubsidio,Banderas y/o señalización,"2,506,000,000,000",2025-7,2025-7,KAPPA,OMEGA,Mayor de 55 años,,,TAU,
La Arboleda,ETAPA 2,6/14/2025,No,Banco,Banderas y/o señalización,"1,789,339,500,000",2025-6,2025-6,NU,OMEGA,20 a 35 años,,,RHO,X
INARI,ETAPA 1,5/31/2025,No,Colsubsidio,Activación,"2,916,000,000,000",2025-5,2025-5,SIGMA,OMEGA,46 a 55 años,3,3,RHO,X
Agrupación De Vivienda Pamplona I,ETAPA 3,5/31/2026,No,Colsubsidio,Banderas y/o señalización,"2,100,000,000,000",2026-5,2026-5,NU,OMEGA,20 a 35 años,,,RHO,X
Agrupación De Vivienda Monguí,ETAPA 2,6/13/2025,No,Banco,Ferias empresariales,"1,991,476,500,000",2025-6,2025-6,KAPPA,OMEGA,20 a 35 años,2,2,NU,
INARI,ETAPA 1,5/19/2026,No,Colsubsidio,Activación,"2,506,000,000,000",2026-5,2026-5,NU,ETA,20 a 35 años,,,GAMMA,
Proyecto Karakalí,ETAPA 1,6/15/2025,No,Banco,Ferias empresariales,"2,451,267,000,000",2025-6,2025-6,SIGMA,ETA,36 a 45 años,,,NU,
Agrupacion De Vivienda Reserva De Guayacan,ETAPA 1,5/11/2026,No,Banco,Ferias empresariales,"2,360,000,000,000",2026-5,2026-5,KAPPA,OMEGA,36 a 45 años,1,1,TAU,
AGRUPACIÓN DE VIVIENDA SAMÁN ,ETAPA 1,6/14/2025,No,Colsubsidio,Ferias empresariales,"2,550,000,000,000",2025-6,2025-6,SIGMA,OMEGA,20 a 35 años,1,1,ALPHA,
Agrupación De Vivienda Pamplona I,ETAPA 4,6/18/2025,No,Banco,Ferias empresariales,"2,361,000,000,000",2025-6,2025-6,SIGMA,OMEGA,46 a 55 años,1,1,ALPHA,
INARI,ETAPA 1,6/13/2025,No,Colsubsidio,Banderas y/o señalización,"2,549,000,000,000",2025-6,2025-6,KAPPA,OMEGA,20 a 35 años,,,GAMMA,X
AGRUPACIÓN DE VIVIENDA SAMÁN ,ETAPA 1,6/14/2025,No,Banco,Ferias empresariales,"2,550,000,000,000",2025-6,2025-6,KAPPA,OMEGA,Mayor de 55 años,1,,GAMMA,
Agrupación De Vivienda La Macarena,ETAPA 1,4/18/2024,No,Colsubsidio,Banderas y/o señalización,"1,340,300,000,000",2024-4,2024-4,KAPPA,OMEGA,20 - 35 años,1,1,RHO,X
Agrupación De Vivienda Pamplona I,ETAPA 4,6/29/2025,No,Banco,Banderas y/o señalización,"2,361,000,000,000",2025-6,2025-6,KAPPA,OMEGA,20 a 35 años,1,1,TAU,
Agrupacion De Vivienda Bosque De Arrayan,ETAPA 4,4/30/2024,No,Colsubsidio,Banderas y/o señalización,"1,773,200,000,000",2024-4,2024-4,SIGMA,OMEGA,36 - 45 años,,,TAU,
VILLA FIORITA,ETAPA 2,6/28/2025,No,Banco,Ferias empresariales,"2,135,250,000,000",2025-6,2025-6,NU,OMEGA,20 a 35 años,,,TAU,
La Arboleda,ETAPA 2,4/26/2024,No,Colsubsidio,Banderas y/o señalización,"1,945,924,500,000",2024-4,2024-4,KAPPA,OMEGA,20 - 35 años,,,TAU,
Versalles,ETAPA 1,5/18/2026,No,Banco,Banderas y/o señalización,"1,987,000,000,000",2026-5,2026-5,KAPPA,OMEGA,36 a 45 años,4,4,GAMMA,
INARI,1,6/4/2025,Si,Colsubsidio,Sin Informacion,"2,808,000,000,000",2025-6,2025-6,KAPPA,OMEGA,20 a 35 años,1,1,TAU,
AGRUPACIÓN DE VIVIENDA SAMÁN ,ETAPA 1,5/5/2026,No,Banco,Ferias empresariales,"2,532,490,950,000",2026-5,2026-5,SIGMA,OMEGA,Mayor de 55 años,1,,TAU,
Agrupacion De Vivienda Fuentevida,ETAPA 2,4/24/2025,No,Colsubsidio,Referido Alcaldía,"1,281,150,000,000",2025-4,2025-4,KAPPA,OMEGA,36 a 45 años,1,1,GAMMA,
La Arboleda,ETAPA 3,4/28/2025,No,Colsubsidio,Banderas y/o señalización,"2,412,130,000,000",2025-4,2025-4,KAPPA,OMEGA,20 a 35 años,3,2,TAU,
VERDE ESPERANZA EL DORADO,ETAPA 1,2/28/2026,No,Colsubsidio,Banderas y/o señalización,"1,753,000,000,000",2026-2,2026-2,SIGMA,OMEGA,20 a 35 años,1,1,GAMMA,
VILLA MERCEDES EL DORADO,ETAPA 1,2/20/2026,No,Banco,Referido Alcaldía,"1,715,000,000,000",2026-2,2026-2,KAPPA,OMEGA,20 a 35 años,,,TAU,
VILLA MERCEDES EL DORADO,ETAPA 1,2/13/2026,No,Banco,Referido Alcaldía,"1,715,000,000,000",2026-2,2026-2,KAPPA,ETA,46 a 55 años,1,,IOTA,
VILLA MERCEDES EL DORADO,ETAPA 1,2/11/2026,No,Banco,Referido Alcaldía,"1,715,000,000,000",2026-2,2026-2,KAPPA,OMEGA,36 a 45 años,1,1,TAU,
VILLA MERCEDES EL DORADO,ETAPA 1,2/20/2026,No,Colsubsidio,Referido Alcaldía,"1,715,000,000,000",2026-2,2026-2,SIGMA,OMEGA,20 a 35 años,2,2,NU,
Agrupación De Vivienda Monguí,ETAPA 2,2/10/2026,No,Banco,Banderas y/o señalización,"1,584,569,000,000",2026-2,2026-2,KAPPA,OMEGA,20 a 35 años,,,RHO,
Agrupación De Vivienda Monguí,ETAPA 2,2/21/2026,No,Colsubsidio,Banderas y/o señalización,"1,575,815,000,000",2026-2,2026-2,KAPPA,OMEGA,20 a 35 años,3,2,GAMMA,
Agrupación De Vivienda La Macarena,ETAPA 3,10/4/2024,No,Contado,Banderas y/o señalización,"1,368,900,000,000",2024-10,2024-10,KAPPA,OMEGA,Menor de 19 años,2,1,TAU,
La Arboleda,ETAPA 1,10/31/2024,No,Banco,Banderas y/o señalización,"1,776,528,000,000",2024-10,2024-10,KAPPA,OMEGA,Mayor de 55 años,2,,TAU,
VILLA MERCEDES EL DORADO,ETAPA 1,2/19/2026,No,Banco,Referido Alcaldía,"1,715,000,000,000",2026-2,2026-2,KAPPA,ETA,46 a 55 años,1,,IOTA,
Agrupación De Vivienda Monguí,ETAPA 1,2/21/2026,No,Colsubsidio,Activación,"1,584,569,000,000",2026-2,2026-2,SIGMA,ETA,36 a 45 años,2,,NU,
Agrupacion De Vivienda Reserva De Guayacan,ETAPA 1,7/8/2026,No,Banco,Contact Center,"2,395,000,000,000",2026-7,2026-6,NU,ETA,20 a 35 años,,,RHO,X
Agrupación De Vivienda La Macarena,ETAPA 4,7/3/2026,No,Banco,Activación,"1,567,060,000,000",2026-7,2026-6,KAPPA,OMEGA,46 a 55 años,2,,TAU,
VERDE ESPERANZA EL DORADO,ETAPA 1,7/1/2026,No,Colsubsidio,Banderas y/o señalización,"1,793,000,000,000",2026-7,2026-6,KAPPA,OMEGA,46 a 55 años,,,NU,
Agrupación De Vivienda Pamplona I,ETAPA 5,7/1/2026,No,Banco,Banderas y/o señalización,"2,293,000,000,000",2026-7,2026-6,KAPPA,OMEGA,36 a 45 años,3,2,GAMMA,
Los Nogales,ETAPA 1,7/4/2026,No,Colsubsidio,Banderas y/o señalización,"5,389,330,000,000",2026-7,2026-6,SIGMA,TAU,36 a 45 años,,,ZETA,
Versalles,ETAPA 1,7/2/2026,No,Banco,Banderas y/o señalización,"2,022,000,000,000",2026-7,2026-6,KAPPA,OMEGA,Mayor de 55 años,,,TAU,
Agrupación De Vivienda Pamplona I,ETAPA 2,2/21/2026,No,Banco,Activación,"1,786,000,000,000",2026-2,2026-2,KAPPA,OMEGA,36 a 45 años,2,2,TAU,
VILLA MERCEDES EL DORADO,ETAPA 1,2/13/2026,No,Colsubsidio,Referido Alcaldía,"1,715,000,000,000",2026-2,2026-2,KAPPA,OMEGA,46 a 55 años,1,1,TAU,
VILLA MERCEDES EL DORADO,ETAPA 1,2/28/2026,No,Banco,Referido Alcaldía,"1,715,000,000,000",2026-2,2026-2,KAPPA,OMEGA,Mayor de 55 años,1,,TAU,
La Arboleda,ETAPA 3,7/10/2026,No,Colsubsidio,Banderas y/o señalización,"2,233,450,000,000",2026-7,2026-6,KAPPA,OMEGA,20 a 35 años,2,2,GAMMA,
Agrupación De Vivienda La Macarena,3,3/26/2025,Si,Banco,Sin Informacion,"1,619,569,000,000",2025-3,,PI,CHI,,,,XI,
AGRUPACIÓN DE VIVIENDA BOSQUE DE TURPIAL,ETAPA 2,6/15/2025,No,Colsubsidio,Banderas y/o señalización,"2,807,000,000,000",2025-6,,PI,CHI,,,,XI,
Agrupación De Vivienda La Macarena,ETAPA 3,6/14/2025,No,Banco,Referido,"1,477,593,000,000",2025-6,,PI,CHI,,,,XI,
VERDE ESPERANZA EL DORADO,ETAPA 1,9/19/2025,No,Banco,Banderas y/o señalización,"1,618,000,000,000",2025-9,,PI,CHI,,,,XI,
Agrupación De Vivienda Monguí,ETAPA 3,4/26/2026,No,Banco,Activación,"1,820,923,000,000",2026-4,,PI,CHI,,,,XI,
Proyecto Karakalí,ETAPA 1,7/3/2025,No,Banco,Activación,"2,451,267,000,000",2025-7,,PI,CHI,,,,XI,
Proyecto Karakalí,ETAPA 1,7/27/2025,No,Banco,Valla ,"2,451,267,000,000",2025-7,,PI,CHI,,,,XI,
La Arboleda,ETAPA 2,2/25/2025,No,Banco,Banderas y/o señalización,"1,769,410,500,000",2025-2,,PI,CHI,,,,XI,
ARAUCARIA,ETAPA 2,6/20/2026,No,Banco,Banderas y/o señalización,"7,294,000,000,000",2026-6,,PI,CHI,,,,XI,
La Arboleda,ETAPA 2,10/19/2024,No,Banco,Banderas y/o señalización,"1,807,845,000,000",2024-10,,PI,CHI,,,,XI,
ARAUCARIA,ETAPA 1,12/21/2025,No,Banco,Banderas y/o señalización,"5,707,000,000,000",2025-12,,PI,CHI,,,,XI,
Agrupación De Vivienda Monguí,ETAPA 3,4/25/2026,No,Banco,Activación,"1,829,678,000,000",2026-4,,PI,CHI,,,,XI,
INARI,ETAPA 1,6/21/2024,No,Banco,Ferias empresariales,"2,808,000,000,000",2024-6,,PI,CHI,,,,XI,
VERDE ESPERANZA EL DORADO,ETAPA 1,5/19/2026,No,Colsubsidio,Banderas y/o señalización,"1,793,000,000,000",2026-5,,PI,CHI,,,,XI,
Agrupación De Vivienda La Macarena,ETAPA 3,1/30/2025,No,Banco,Banderas y/o señalización,"1,400,724,000,000",2025-1,,PI,CHI,,,,XI,
VERDE ESPERANZA EL DORADO,ETAPA 1,10/15/2025,No,Banco,Valla ,"1,618,000,000,000",2025-10,,PI,CHI,,,,XI,
VILLA MERCEDES EL DORADO,ETAPA 1,2/28/2026,No,Banco,Referido Alcaldía,"1,715,000,000,000",2026-2,,PI,CHI,,,,XI,
AGRUPACIÓN DE VIVIENDA BOSQUE DE TURPIAL,,9/4/2024,Si,Colsubsidio,Sin Informacion,"2,311,000,000,000",2024-9,,PI,CHI,,,,XI,
VERDE ESPERANZA EL DORADO,ETAPA 1,2/21/2026,No,Banco,Banderas y/o señalización,"1,793,000,000,000",2026-2,,PI,CHI,,,,XI,
La Arboleda,ETAPA 3,5/24/2024,No,Banco,Banderas y/o señalización,"2,233,450,000,000",2024-5,,PI,CHI,,,,XI,
Conjunto Residencial Campo Alegre El Dorado,ETAPA 2,3/30/2025,No,Banco,Valla ,"1,184,494,350,000",2025-3,,PI,CHI,,,,XI,
La Arboleda,,10/26/2024,Si,Banco,Sin Informacion,"1,945,924,500,000",2024-10,,PI,CHI,,,,XI,
ARAUCARIA,ETAPA 1,12/20/2025,No,Banco,Banderas y/o señalización,"6,194,000,000,000",2025-12,,PI,CHI,,,,XI,
Los Nogales,ETAPA 1,2/25/2026,No,Banco,Banderas y/o señalización,"5,756,570,000,000",2026-2,,PI,CHI,,,,XI,
Agrupacion De Vivienda Bosque De Arrayan,,6/29/2024,Si,Colsubsidio,Sin Informacion,"1,773,200,000,000",2024-6,,PI,CHI,,,,XI,
Agrupación De Vivienda Monguí,ETAPA 2,6/28/2025,No,Banco,Referido,"2,019,946,500,000",2025-6,,PI,CHI,,,,XI,
VERDE ESPERANZA EL DORADO,ETAPA 1,11/29/2025,No,Banco,Banderas y/o señalización,"1,793,000,000,000",2025-11,,PI,CHI,,,,XI,
Conjunto Residencial Campo Alegre El Dorado,2,1/15/2025,Si,Banco,Sin Informacion,"1,118,728,650,000",2025-1,,PI,CHI,,,,XI,
Agrupacion De Vivienda Payande,ETAPA 3,6/14/2025,No,Banco,Ferias empresariales,"1,699,375,000,000",2025-6,,PI,CHI,,,,XI,
Agrupacion De Vivienda Bosque De Arrayan,ETAPA 1,4/24/2026,No,Banco,Activación,"2,190,000,000,000",2026-4,,PI,CHI,,,,XI,
Conjunto Residencial Campo Alegre El Dorado,ETAPA 2,8/21/2024,No,Banco,Referido Alcaldía,"1,118,728,650,000",2024-8,,PI,CHI,,,,XI,
La Arboleda,ETAPA 1,2/28/2024,No,Banco,Banderas y/o señalización,"1,582,100,000,000",2024-2,,PI,CHI,,,,XI,
VILLA MERCEDES EL DORADO,ETAPA 1,2/16/2026,No,Banco,Referido Alcaldía,"1,715,000,000,000",2026-2,,PI,CHI,,,,XI,
Los Nogales,ETAPA 1,10/22/2025,No,Contado,Whatsapp,"5,732,810,000,000",2025-10,,PI,CHI,,,,XI,
VERDE ESPERANZA EL DORADO,ETAPA 1,11/21/2025,No,Banco,Banderas y/o señalización,"1,618,000,000,000",2025-11,,PI,CHI,,,,XI,
Conjunto Residencial Campo Alegre El Dorado,ETAPA 2,3/20/2025,No,Banco,Valla ,"1,184,494,350,000",2025-3,,PI,CHI,,,,XI,
Versalles,ETAPA 2,7/5/2026,No,Banco,Banderas y/o señalización,"2,173,000,000,000",2026-7,,PI,CHI,,,,XI,
INARI,1,9/20/2025,Si,Colsubsidio,Sin Informacion,"2,808,000,000,000",2025-9,,PI,CHI,,,,XI,
AGRUPACIÓN DE VIVIENDA BOSQUE DE TURPIAL,ETAPA 1,5/22/2026,No,Banco,Banderas y/o señalización,"2,056,000,000,000",2026-5,,PI,CHI,,,,XI,
Agrupación De Vivienda Pamplona I,ETAPA 2,3/15/2026,No,Banco,Banderas y/o señalización,"1,821,000,000,000",2026-3,,PI,CHI,,,,XI,
Agrupación De Vivienda Pamplona I,ETAPA 3,12/28/2025,No,Banco,Banderas y/o señalización,"2,293,000,000,000",2025-12,,PI,CHI,,,,XI,
Agrupación De Vivienda La Macarena,ETAPA 3,1/25/2025,No,Banco,Contact Center,"1,407,841,500,000",2025-1,,PI,CHI,,,,XI,
Los Nogales,1,2/14/2024,Si,Colsubsidio,Sin Informacion,"6,812,820,000,000",2024-2,,PI,CHI,,,,XI,
La Arboleda,ETAPA 2,5/18/2025,No,Banco,Banderas y/o señalización,"1,786,492,500,000",2025-5,,PI,CHI,,,,XI,
INARI,ETAPA 1,8/17/2024,No,Banco,Ferias empresariales,"2,808,000,000,000",2024-8,,PI,CHI,,,,XI,
Los Nogales,ETAPA 2,2/24/2025,No,Contado,Whatsapp,"7,754,790,000,000",2025-2,,PI,CHI,,,,XI,
INARI,1,6/15/2025,Si,Colsubsidio,Sin Informacion,"2,549,000,000,000",2025-6,,PI,CHI,,,,XI,
La Arboleda,ETAPA 3,5/7/2026,No,Banco,Banderas y/o señalización,"2,233,450,000,000",2026-5,,PI,CHI,,,,XI,
Agrupación De Vivienda La Macarena,3,3/15/2026,Si,Banco,Sin Informacion,"1,584,569,000,000",2026-3,,PI,CHI,,,,XI,
ARAUCARIA,ETAPA 1,12/29/2025,No,Banco,Banderas y/o señalización,"5,903,000,000,000",2025-12,,PI,CHI,,,,XI,
Agrupacion De Vivienda Bosque De Arrayan,ETAPA 4,12/30/2024,No,Banco,Banderas y/o señalización,"1,940,230,500,000",2024-12,,PI,CHI,,,,XI,
Los Nogales,ETAPA 1,10/2/2025,No,Banco,Whatsapp,"5,684,490,000,000",2025-10,,PI,CHI,,,,XI,
Proyecto Karakalí,ETAPA 1,2/29/2024,No,Banco,Ferias empresariales,"2,568,000,000,000",2024-2,,PI,CHI,,,,XI,
VILLA FIORITA,ETAPA 3,2/9/2026,No,Banco,Whatsapp,"2,135,250,000,000",2026-2,,PI,CHI,,,,XI,
Proyecto Karakalí,1,1/13/2025,Si,Colsubsidio,Sin Informacion,"2,264,000,000,000",2025-1,,PI,CHI,,,,XI,
Agrupacion De Vivienda Fuentevida,ETAPA 2,11/26/2024,No,Banco,Referido Alcaldía,"1,208,551,500,000",2024-11,,PI,CHI,,,,XI,
Los Nogales,ETAPA 1,8/10/2024,No,Banco,Ferias empresariales,"5,769,040,000,000",2024-8,,PI,CHI,,,,XI,
RESERVA DEL NOGAL,UNICA,8/14/2024,No,Banco,Valla proyecto sala de ventas,"1,700,000,000,000",2024-8,,PI,CHI,,,,XI,
Agrupacion De Vivienda Bosque De Arrayan,ETAPA 4,1/7/2025,No,Banco,Banderas y/o señalización,"1,822,329,900,000",2025-1,,PI,CHI,,,,XI,
VILLA FIORITA,ETAPA 3,9/13/2024,No,Banco,Banderas y/o señalización,"2,135,250,000,000",2024-9,,PI,CHI,,,,XI,
Agrupacion De Vivienda Fuentevida,ETAPA 2,11/25/2024,No,Banco,Referido Alcaldía,"1,208,551,500,000",2024-11,,PI,CHI,,,,XI,
INARI,1,6/19/2025,Si,Colsubsidio,Sin Informacion,"2,506,000,000,000",2025-6,,PI,CHI,,,,XI,
INARI,ETAPA 1,8/17/2024,No,Banco,Banderas y/o señalización,"2,808,000,000,000",2024-8,,PI,CHI,,,,XI,
